"name","price_year","average_price","unit_value","unit"
Mléko polotučné pasterované,2009,15.66,1.0,l
Mléko polotučné pasterované,2010,16.03,1.0,l
Mléko polotučné pasterované,2011,17.65,1.0,l
Mléko polotučné pasterované,2012,18.8,1.0,l
Mléko polotučné pasterované,2013,19.34,1.0,l
Mléko polotučné pasterované,2014,20.7,1.0,l
Mléko polotučné pasterované,2015,19.54,1.0,l
Mléko polotučné pasterované,2016,17.9,1.0,l
Mléko polotučné pasterované,2017,19.5,1.0,l
Mléko polotučné pasterované,2018,19.82,1.0,l
Mrkev,2006,14.41,1.0,kg
Mrkev,2007,14.18,1.0,kg
Mrkev,2008,16.88,1.0,kg
Mrkev,2009,16.56,1.0,kg
Mrkev,2010,15.79,1.0,kg
Mrkev,2011,16.44,1.0,kg
Mrkev,2012,17.44,1.0,kg
Mrkev,2013,18.59,1.0,kg
Mrkev,2014,16.22,1.0,kg
Mrkev,2015,20.84,1.0,kg
Mrkev,2016,18.55,1.0,kg
Mrkev,2017,15.03,1.0,kg
Mrkev,2018,22.45,1.0,kg
Papriky,2006,35.31,1.0,kg
Papriky,2007,68.79,1.0,kg
Papriky,2008,62.3,1.0,kg
Papriky,2009,51.7,1.0,kg
Papriky,2010,61.5,1.0,kg
Papriky,2011,53.29,1.0,kg
Papriky,2012,58.83,1.0,kg
Papriky,2013,61.86,1.0,kg
Papriky,2014,60.55,1.0,kg
Papriky,2015,63.52,1.0,kg
Papriky,2016,64.55,1.0,kg
Papriky,2017,62.4,1.0,kg
Papriky,2018,60.47,1.0,kg
Pečivo pšeničné bílé,2006,38.6,1.0,kg
Pečivo pšeničné bílé,2007,44.04,1.0,kg
Pečivo pšeničné bílé,2008,54.31,1.0,kg
Pečivo pšeničné bílé,2009,38.83,1.0,kg
Pečivo pšeničné bílé,2010,33.54,1.0,kg
Pečivo pšeničné bílé,2011,43.25,1.0,kg
Pečivo pšeničné bílé,2012,43.67,1.0,kg
Pečivo pšeničné bílé,2013,41.98,1.0,kg
Pečivo pšeničné bílé,2014,40.54,1.0,kg
Pečivo pšeničné bílé,2015,39.46,1.0,kg
Pečivo pšeničné bílé,2016,40.84,1.0,kg
Pečivo pšeničné bílé,2017,45.23,1.0,kg
Pečivo pšeničné bílé,2018,43.84,1.0,kg
"Pivo výčepní, světlé, lahvové",2006,8.45,0.5,l
"Pivo výčepní, světlé, lahvové",2007,8.51,0.5,l
"Pivo výčepní, světlé, lahvové",2008,8.97,0.5,l
"Pivo výčepní, světlé, lahvové",2009,9.18,0.5,l
"Pivo výčepní, světlé, lahvové",2010,9.89,0.5,l
"Pivo výčepní, světlé, lahvové",2011,10.05,0.5,l
"Pivo výčepní, světlé, lahvové",2012,10.16,0.5,l
"Pivo výčepní, světlé, lahvové",2013,10.55,0.5,l
"Pivo výčepní, světlé, lahvové",2014,10.63,0.5,l
"Pivo výčepní, světlé, lahvové",2015,10.68,0.5,l
"Pivo výčepní, světlé, lahvové",2016,11.23,0.5,l
"Pivo výčepní, světlé, lahvové",2017,11.29,0.5,l
"Pivo výčepní, světlé, lahvové",2018,11.81,0.5,l
Pomeranče,2006,24.73,1.0,kg
Pomeranče,2007,30.23,1.0,kg
Pomeranče,2008,31.29,1.0,kg
Pomeranče,2009,29.79,1.0,kg
Pomeranče,2010,30.62,1.0,kg
Pomeranče,2011,28.06,1.0,kg
Pomeranče,2012,30.19,1.0,kg
Pomeranče,2013,31.37,1.0,kg
Pomeranče,2014,29.68,1.0,kg
Pomeranče,2015,32.5,1.0,kg
Pomeranče,2016,32.6,1.0,kg
Pomeranče,2017,36.32,1.0,kg
Pomeranče,2018,36.5,1.0,kg
Přírodní minerální voda uhličitá,2006,7.69,1.0,l
Přírodní minerální voda uhličitá,2007,7.73,1.0,l
Přírodní minerální voda uhličitá,2008,8.27,1.0,l
Přírodní minerální voda uhličitá,2009,8.21,1.0,l
Přírodní minerální voda uhličitá,2010,8.03,1.0,l
Přírodní minerální voda uhličitá,2011,8.29,1.0,l
Přírodní minerální voda uhličitá,2012,8.89,1.0,l
Přírodní minerální voda uhličitá,2013,8.74,1.0,l
Přírodní minerální voda uhličitá,2014,8.69,1.0,l
Přírodní minerální voda uhličitá,2015,8.71,1.0,l
Přírodní minerální voda uhličitá,2016,8.66,1.0,l
Přírodní minerální voda uhličitá,2017,8.78,1.0,l
Přírodní minerální voda uhličitá,2018,8.64,1.0,l
Pšeničná mouka hladká,2006,7.41,1.0,kg
Pšeničná mouka hladká,2007,9.08,1.0,kg
Pšeničná mouka hladká,2008,12.98,1.0,kg
Pšeničná mouka hladká,2009,9.97,1.0,kg
Pšeničná mouka hladká,2010,8.77,1.0,kg
Pšeničná mouka hladká,2011,11.44,1.0,kg
Pšeničná mouka hladká,2012,11.53,1.0,kg
Pšeničná mouka hladká,2013,13.34,1.0,kg
Pšeničná mouka hladká,2014,13.12,1.0,kg
Pšeničná mouka hladká,2015,12.59,1.0,kg
Pšeničná mouka hladká,2016,11.03,1.0,kg
Pšeničná mouka hladká,2017,11.43,1.0,kg
Pšeničná mouka hladká,2018,11.44,1.0,kg
Rajská jablka červená kulatá,2006,57.83,1.0,kg
Rajská jablka červená kulatá,2007,40.32,1.0,kg
Rajská jablka červená kulatá,2008,35.58,1.0,kg
Rajská jablka červená kulatá,2009,34.92,1.0,kg
Rajská jablka červená kulatá,2010,42.21,1.0,kg
Rajská jablka červená kulatá,2011,30.31,1.0,kg
Rajská jablka červená kulatá,2012,37.85,1.0,kg
Rajská jablka červená kulatá,2013,37.1,1.0,kg
Rajská jablka červená kulatá,2014,41.16,1.0,kg
Rajská jablka červená kulatá,2015,42.77,1.0,kg
Rajská jablka červená kulatá,2016,40.58,1.0,kg
Rajská jablka červená kulatá,2017,44.7,1.0,kg
Rajská jablka červená kulatá,2018,44.49,1.0,kg
Rostlinný roztíratelný tuk,2006,69.45,1.0,kg
Rostlinný roztíratelný tuk,2007,69.5,1.0,kg
Rostlinný roztíratelný tuk,2008,84.4,1.0,kg
Rostlinný roztíratelný tuk,2009,84.41,1.0,kg
Rostlinný roztíratelný tuk,2010,80.42,1.0,kg
Rostlinný roztíratelný tuk,2011,88.72,1.0,kg
Rostlinný roztíratelný tuk,2012,90.02,1.0,kg
Rostlinný roztíratelný tuk,2013,93.3,1.0,kg
Rostlinný roztíratelný tuk,2014,93.05,1.0,kg
Rostlinný roztíratelný tuk,2015,91.54,1.0,kg
Rostlinný roztíratelný tuk,2016,91.44,1.0,kg
Rostlinný roztíratelný tuk,2017,94.29,1.0,kg
Rostlinný roztíratelný tuk,2018,99.4,1.0,kg
Rýže loupaná dlouhozrnná,2006,21.29,1.0,kg
Rýže loupaná dlouhozrnná,2007,23.86,1.0,kg
Rýže loupaná dlouhozrnná,2008,32.69,1.0,kg
Rýže loupaná dlouhozrnná,2009,36.1,1.0,kg
Rýže loupaná dlouhozrnná,2010,33.93,1.0,kg
Rýže loupaná dlouhozrnná,2011,33.34,1.0,kg
Rýže loupaná dlouhozrnná,2012,34.04,1.0,kg
Rýže loupaná dlouhozrnná,2013,34.73,1.0,kg
Rýže loupaná dlouhozrnná,2014,35.31,1.0,kg
Rýže loupaná dlouhozrnná,2015,35.93,1.0,kg
Rýže loupaná dlouhozrnná,2016,36.52,1.0,kg
Rýže loupaná dlouhozrnná,2017,36.3,1.0,kg
Rýže loupaná dlouhozrnná,2018,36.18,1.0,kg
Šunkový salám,2006,116.77,1.0,kg
Šunkový salám,2007,116.44,1.0,kg
Šunkový salám,2008,118.98,1.0,kg
Šunkový salám,2009,117.99,1.0,kg
Šunkový salám,2010,116.98,1.0,kg
Šunkový salám,2011,115.91,1.0,kg
Šunkový salám,2012,121.75,1.0,kg
Šunkový salám,2013,126.24,1.0,kg
Šunkový salám,2014,129.43,1.0,kg
Šunkový salám,2015,128.86,1.0,kg
Šunkový salám,2016,130.21,1.0,kg
Šunkový salám,2017,142.03,1.0,kg
Šunkový salám,2018,144.88,1.0,kg
Těstoviny vaječné,2006,26.1,1.0,kg
Těstoviny vaječné,2007,26.71,1.0,kg
Těstoviny vaječné,2008,30.76,1.0,kg
Těstoviny vaječné,2009,30.98,1.0,kg
Těstoviny vaječné,2010,31.94,1.0,kg
Těstoviny vaječné,2011,35.14,1.0,kg
Těstoviny vaječné,2012,37.55,1.0,kg
Těstoviny vaječné,2013,41.0,1.0,kg
Těstoviny vaječné,2014,42.54,1.0,kg
Těstoviny vaječné,2015,44.42,1.0,kg
Těstoviny vaječné,2016,44.82,1.0,kg
Těstoviny vaječné,2017,46.55,1.0,kg
Těstoviny vaječné,2018,47.87,1.0,kg
Vejce slepičí čerstvá,2006,23.49,10.0,ks
Vejce slepičí čerstvá,2007,24.97,10.0,ks
Vejce slepičí čerstvá,2008,28.12,10.0,ks
Vejce slepičí čerstvá,2009,26.02,10.0,ks
Vejce slepičí čerstvá,2010,25.15,10.0,ks
Vejce slepičí čerstvá,2011,23.21,10.0,ks
Vejce slepičí čerstvá,2012,35.92,10.0,ks
Vejce slepičí čerstvá,2013,30.48,10.0,ks
Vejce slepičí čerstvá,2014,30.93,10.0,ks
Vejce slepičí čerstvá,2015,31.15,10.0,ks
Vejce slepičí čerstvá,2016,28.65,10.0,ks
Vejce slepičí čerstvá,2017,36.34,10.0,ks
Vejce slepičí čerstvá,2018,38.39,10.0,ks
Vepřová pečeně s kostí,2006,105.18,1.0,kg
Vepřová pečeně s kostí,2007,102.9,1.0,kg
Vepřová pečeně s kostí,2008,106.46,1.0,kg
Vepřová pečeně s kostí,2009,106.48,1.0,kg
Vepřová pečeně s kostí,2010,100.48,1.0,kg
Vepřová pečeně s kostí,2011,100.04,1.0,kg
Vepřová pečeně s kostí,2012,109.42,1.0,kg
Vepřová pečeně s kostí,2013,115.87,1.0,kg
Vepřová pečeně s kostí,2014,116.37,1.0,kg
Vepřová pečeně s kostí,2015,108.66,1.0,kg
Vepřová pečeně s kostí,2016,109.46,1.0,kg
Vepřová pečeně s kostí,2017,118.27,1.0,kg
Vepřová pečeně s kostí,2018,116.85,1.0,kg
